price,area,area_unit,city,location,property_type,bedrooms,bathrooms,built_in_year,parking_space,servant_quarters,store_rooms,kitchens,drawing_rooms,url
23000000.0,5.0,marla,Lahore,Other,House,5.0,5.0,2020.0,0.0,0.0,0.0,2026.0,2026.0,https://www.zameen.com/Property/al_rehman_garden_al_rehman_garden_phase_2_5marla_brand_new_house_for_sale_in_al_rehman_garden_phase2-54248919-4506-1.html
30000000.0,6.0,Marla,Lahore,Other,House,4.0,4.0,2020.0,1.0,0.0,0.0,2026.0,2026.0,https://www.zameen.com/Property/al_rehman_garden_al_rehman_garden_phase_2_hot_deal_6_marla_brand_new_house_for_sale_ideal_location_reasonable_demand-54248917-4506-1.html
30000000.0,6.0,Marla,Lahore,Other,House,5.0,5.0,2020.0,1.0,0.0,0.0,2.0,0.0,https://www.zameen.com/Property/al_rehman_garden_al_rehman_garden_phase_2_6_marla_semi_furnished_house_with_10kva_solar_for_sale_in_al_rehman_garden_phase_2_prime_location_near_joyland-54248916-4506-1.html
30000000.0,5.0,Marla,Lahore,Other,House,5.0,5.0,2020.0,8.0,1.0,0.0,2.0,0.0,https://www.zameen.com/Property/al_rehman_garden_al_rehman_garden_phase_2_5_marla_2_5_storey_house_for_sale_in_al_rehman_garden_solid_construction_prime_location-54248914-4506-1.html
40000000.0,10.0,Marla,Lahore,Other,House,5.0,5.0,2020.0,0.0,0.0,0.0,0.0,0.0,https://www.zameen.com/Property/al_rehman_garden_phase_2_al_rehman_phase_2_-_block_g_book_a_prime_location_10_marla_house_in_al_rehman_phase_2_-_block_g-54248912-12996-1.html
88000000.0,1.0,Kanal,Lahore,Dha Defe,House,4.0,5.0,2020.0,0.0,2025.0,2025.0,2025.0,0.0,https://www.zameen.com/Property/dha_defence_dha_phase_6_1_kanal_top_quality_build_luxurious_beautiful_modern_design_villa_with_basement_for_sale_in_dha_lahore_phase_6_prime_location_near_to_raya_20_kva_solar_with_green_metar-54248899-1448-1.html
220000000.0,2.0,Kanal,Lahore,Other,House,5.0,6.0,2020.0,0.0,0.0,0.0,0.0,0.0,https://www.zameen.com/Property/lahore_gulberg_2_kanal_house_for_sale_on_link_kasori_road_hussain_chowk_gulberg-40389685-7-1.html
80000000.0,1.0,Kanal,Lahore,Dha Defe,House,3.0,2.0,2020.0,0.0,2.0,0.0,4.0,0.0,https://www.zameen.com/Property/dha_defence_dha_phase_8_prime_location-54233703-1451-1.html
140000000.0,1.0,KANAL,Lahore,Dha Defe,House,5.0,5.0,2020.0,0.0,0.0,2024.0,0.0,0.0,https://www.zameen.com/Property/dha_defence_dha_phase_7_fully_furnished_1_kanal_ultra_modern_super_luxury_bungalow_is_available_in_the_best_block_of_dha_lahore-54179488-1450-1.html
27500000.0,10.0,Marla,Lahore,Other,House,6.0,6.0,2020.0,0.0,0.0,0.0,0.0,0.0,https://www.zameen.com/Property/harbanspura_aamir_town_10_marla_single_storey_house_for_sale_in_amir_town_harbanspura_lahore-53451068-3879-1.html
24500000.0,5.0,Marla,Lahore,Other,House,3.0,3.0,2020.0,0.0,0.0,0.0,1.0,0.0,https://www.zameen.com/Property/johar_town_phase_1_johar_town_phase_1_-_block_a1_beautifull_facing_park_double_story_house_for_sale-54247632-3939-1.html
17000000.0,5.0,Marla,Lahore,Park Vie,House,4.0,5.0,2020.0,1.0,1.0,0.0,0.0,0.0,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_5_marla_brand_new_house_in_park_view_city_lahore-54081890-1466-1.html
16500000.0,5.0,Marla,Lahore,Park Vie,House,4.0,5.0,2020.0,1.0,1.0,0.0,0.0,0.0,https://www.zameen.com/Property/lahore_park_view_city_3_years_installment_plan_luxury_5_marla_brand_new_house_in_park_view_city_lahore-54081851-1466-1.html
47500000.0,10.0,Marla,Lahore,Dha Defe,House,4.0,5.0,2020.0,0.0,1.0,0.0,0.0,0.0,https://www.zameen.com/Property/dha_defence_dha_phase_8_brand_new_4_beds_10_marla_modern_house_for_sale_in_eden_city_dha_phase_8_lahore-52036364-1451-1.html
47500000.0,10.0,Marla,Lahore,Other,House,4.0,5.0,2020.0,1.0,1.0,0.0,0.0,0.0,https://www.zameen.com/Property/eden_eden_city_brand_new_4_beds_10_marla_modern_house_for_sale_in_eden_city_dha_phase_8_lahore-52044821-409-1.html
48000000.0,10.0,Marla,Lahore,Other,House,4.0,5.0,2020.0,2.0,0.0,0.0,2026.0,2026.0,https://www.zameen.com/Property/gt_road_bismillah_housing_scheme_10_marla_modren_design_house_for_sale-54002937-8446-1.html
41000000.0,1688.0,Square Feet,Lahore,Other,House,6.0,6.0,2020.0,0.0,0.0,1.0,2.0,0.0,https://www.zameen.com/Property/faisal_town_faisal_town_-_block_d_a_1688_square_feet_house_has_landed_on_market_in_faisal_town_-_block_d_of_lahore-54234204-3759-1.html
44000000.0,10.0,Marla,Lahore,Other,House,5.0,5.0,2020.0,0.0,1.0,0.0,2.0,0.0,https://www.zameen.com/Property/nawab_town_nawab_town_-_block_d_buying_a_house_in_nawab_town_-_block_d_lahore-54062530-14884-1.html
61000000.0,1.0,Kanal,Lahore,Formanit,House,6.0,6.0,2020.0,3.0,1.0,0.0,0.0,0.0,https://www.zameen.com/Property/formanites_housing_scheme_formanites_housing_scheme_-_block_m_centrally_located_prime_location_house_in_formanites_housing_scheme_-_block_m_is_available_for_sale-51805883-3785-1.html
12500000.0,3.0,Marla,Lahore,Formanit,House,6.0,6.0,2020.0,0.0,1.0,0.0,2.0,0.0,https://www.zameen.com/Property/lahore_formanites_housing_scheme_3_beds_3_marla_brand_new_luxury_house_for_sale_in_formanites_housing_scheme_lahore-51887175-1020-1.html
12000000.0,3.0,Marla,Lahore,Formanit,House,3.0,4.0,2020.0,3.0,1.0,0.0,2.0,0.0,https://www.zameen.com/Property/lahore_formanites_housing_scheme_3_beds_3_marla_brand_new_luxury_house_for_sale_in_formanites_housing_scheme_lahore-52045419-1020-1.html
41500000.0,10.0,Marla,Lahore,Formanit,House,3.0,4.0,2020.0,2.0,1.0,0.0,2.0,0.0,https://www.zameen.com/Property/formanites_housing_scheme_formanites_housing_scheme_-_block_m_ready_to_sale_a_prime_location_house_10_marla_in_formanites_housing_scheme_-_block_m_lahore-54136621-3785-1.html
39000000.0,10.0,Marla,Lahore,Formanit,House,5.0,5.0,2020.0,2.0,1.0,1.0,2.0,0.0,https://www.zameen.com/Property/formanites_housing_scheme_formanites_housing_scheme_-_block_n_this_is_your_chance_to_buy_prime_location_house_in_formanites_housing_scheme_-_block_n-54136622-3786-1.html
44000000.0,10.0,Marla,Lahore,Formanit,House,5.0,5.0,2020.0,2.0,0.0,0.0,2.0,2.0,https://www.zameen.com/Property/formanites_housing_scheme_formanites_housing_scheme_-_block_i_10_marla_house_is_available_for_sale_in_formanites_housing_scheme_block_i_lahore-54136625-3781-1.html
20000000.0,5.0,Marla,Lahore,Park Vie,House,5.0,6.0,2020.0,5.0,1.0,0.0,0.0,0.0,https://www.zameen.com/Property/lahore_park_view_city_3_years_installments_plan_5_marla_brand_new_house_for_sale_in_park_view_city-54239173-1466-1.html
97500000.0,1.0,KANAL,Lahore,Dha Defe,House,5.0,6.0,2020.0,4.0,2026.0,2026.0,2026.0,0.0,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_l_1_kanal_most_elegant_modern_design_bungalow_for_sale_in_dha_phase_6_luxury_living-53075391-1620-1.html
30000000.0,10.0,Marla,Lahore,Bahria T,House,5.0,6.0,2020.0,2.0,1.0,0.0,0.0,0.0,https://www.zameen.com/Property/bahria_town_sector_c_bahria_town_-_jasmine_block_designer_house_for_sale_in_jasmine_block_sector_c_bahria_town_lahore-49828977-1786-1.html
17500000.0,5.0,Marla,Lahore,Park Vie,House,5.0,6.0,2020.0,1.0,0.0,0.0,2.0,2026.0,https://www.zameen.com/Property/park_view_city_park_view_city_-_platinum_block_book_a_on_excellent_location_5_marla_house_in_park_view_city_-_platinum_block-54183350-16617-1.html
32500000.0,10.0,Marla,Lahore,Bankers Town,House,4.0,4.0,2020.0,0.0,0.0,0.0,0.0,2025.0,https://www.zameen.com/Property/lahore_bankers_avenue_cooperative_housing_society_10_marla_beautiful_modern_furnished_house_for_sale_in_bankers_avenue_co-operative_housing_society_top_location-53750612-8325-1.html
40000000.0,10.0,Marla,Lahore,Bankers Town,House,5.0,6.0,2020.0,0.0,0.0,0.0,1.0,0.0,https://www.zameen.com/Property/lahore_bankers_avenue_cooperative_housing_society_10_marla_house_for_sale-53824719-8325-1.html
