price,area,area_unit,city,location,property_type,bedrooms,bathrooms,built_in_year,parking_space,servant_quarters,store_rooms,kitchens,drawing_rooms,url,area_marla,property_age,total_rooms,luxury_score,bedroom_bathroom_ratio,location_avg_price
31500000,12.0,Marla,Lahore,Central Park Scheme,House,5.0,6.0,2020.0,0.0,0.0,0.0,0.0,0.0,https://www.zameen.com/Property/lahore_central_park_housing_scheme_avail_yourself_a_great_prime_location_12_marla_house_in_central_park_housing_scheme-54248724-1013-1.html,12.0,6.0,11.0,0.0,1.1999976000048,34150000.0
40000000,10.0,Marla,Lahore,Central Park Scheme,House,5.0,6.0,2020.0,0.0,0.0,0.0,0.0,0.0,https://www.zameen.com/Property/central_park_housing_scheme_central_park_-_block_g_buy_a_facing_park_house_of_10_marla_in_central_park_-_block_g-54248723-3690-1.html,10.0,6.0,11.0,0.0,1.1999976000048,34150000.0
18000000,5.0,Marla,Lahore,Central Park Scheme,House,5.0,6.0,2020.0,0.0,0.0,0.0,0.0,0.0,https://www.zameen.com/Property/central_park_housing_scheme_central_park_-_block_e_a_stunning_prime_location_house_is_up_for_grabs_in_central_park_-_block_e_lahore-54248721-3688-1.html,5.0,6.0,11.0,0.0,1.1999976000048,34150000.0
42500000,10.0,Marla,Lahore,DHA Defence,House,3.0,4.0,2020.0,2.0,2.0,0.0,2026.0,0.0,https://www.zameen.com/Property/dha_defence_dha_phase_7_luxury_living_10_marla_beautiful_lush_bungalow_in_dha_phase_7_prime_location-54089837-1450-1.html,10.0,6.0,2033.0,4.0,1.3333288889037036,81496093.75
65000000,1.0,Kanal,Lahore,Central Park Scheme,House,4.0,5.0,2020.0,0.0,1.0,0.0,0.0,0.0,https://www.zameen.com/Property/central_park_housing_scheme_central_park_-_block_a1_prime_location_house_available_for_sale_in_central_park_-_block_a1-54248719-17927-1.html,20.0,6.0,9.0,1.0,1.2499968750078125,34150000.0
85000000,1.0,Kanal,Lahore,DHA Defence,House,3.0,2.0,2020.0,4.0,0.0,0.0,0.0,2026.0,https://www.zameen.com/Property/dha_defence_dha_phase_7_1_kanal_out_standing_top_quality_modern_house_close_to_defense_raya-54005784-1450-1.html,20.0,6.0,5.0,2030.0,0.6666644444518518,81496093.75
46500000,10.0,Marla,Lahore,DHA Defence,House,5.0,6.0,2020.0,2.0,1.0,0.0,0.0,0.0,https://www.zameen.com/Property/dha_defence_dha_phase_7_luxury_modern_10_marla_house_available_in_dha_lahore-54090659-1450-1.html,10.0,6.0,11.0,3.0,1.1999976000048,81496093.75
25000000,5.0,Marla,Lahore,Sabzazar Scheme,House,5.0,6.0,2020.0,2.0,1.0,0.0,2.0,0.0,https://www.zameen.com/Property/lahore_sabzazar_scheme_5_marla_like_a_new_house_for_sale_in_sabzazar_near_to_main_orange_train_station-54112501-562-1.html,5.0,6.0,13.0,3.0,1.1999976000048,29253846.153846152
27000000,5.0,Marla,Lahore,Other,House,4.0,5.0,2020.0,0.0,0.0,0.0,0.0,2.0,https://www.zameen.com/Property/dha_11_rahbar_dha_11_rahbar_sector_2_5_marla_brand_new_corner_house_for_sale-54247679-3717-1.html,5.0,6.0,9.0,2.0,1.2499968750078125,37411065.57377049
39500000,8.0,Marla,Lahore,Other,House,3.0,4.0,2020.0,0.0,1.0,0.0,2.0,0.0,https://www.zameen.com/Property/lahore_chaman_park_8_marla_triple_story_house_for_sale_in_chaman_park_naya_pull_canal_road_lahore-52994866-9747-1.html,8.0,6.0,9.0,1.0,1.3333288889037036,37411065.57377049
